VariableWeights
Ces1d	-0.806443535693918
Ttr	-0.730964353621913
Hadh	-0.727412159993341
Fads1	-0.724634585314341
Bloc1s1	-0.724186287745858
Gamt	-0.712131507295292
Sdc4	-0.711823363663636
Dhrs7	-0.703839318046403
Ddah1	-0.701522510908935
Abcg5	-0.697238826058429
Sqrdl	-0.695150184016834
Fabp2	-0.691684286118925
Dbi	-0.667756844866137
Scd1	-0.663100796945163
Ces2e	-0.661494312411528
Anapc13	-0.653291515121426
Fth1	-0.651267855268858
Adck3	-0.645155037446286
Rtn4	-0.644732584008516
Vnn3	-0.633022768615517
Ebpl	-0.631333936129518
Npc2	-0.62872700608848
H2-Q10	-0.627794421871788
Ropn1l	-0.626377711269358
Sec14l2	-0.622175104500028
Suclg2	-0.62117633018895
Car8	-0.620825990817433
Acat3	-0.617363999307704
Lrpap1	-0.616365372385764
Fads2	-0.61426134401398
Rnf125	-0.612079725706433
Evi5	-0.609100017814639
1600014C10Rik	-0.60254446719427
Tmem176a	-0.60237425674991
Aldh4a1	-0.596997828120502
Gpx4	-0.59219344190232
Iyd	-0.591877528765751
Cyb5r3	-0.589721947187582
Pet112	-0.586050160525252
Akr1c13	-0.584980435244971
Fam210a	-0.575635351671945
Hcfc1r1	-0.561479713586753
Dhrs1	-0.558550467188739
Tmem176b	-0.556749154205069
Hsd11b1	-0.55563752998615
Tecr	-0.551852722334402
Cd81	-0.545961894255
Commd1	-0.544860159892092
Cd36	-0.543258670619577
9030619P08Rik	-0.540060646628543
Apool	-0.537033190745016
Apoa4	-0.536511570227336
Enpp3	-0.53608555921009
Ociad2	-0.533933426774848
Pla2g12b	-0.529678483724115
Dram2	-0.52900120578626
Lipa	-0.52705795223569
Aldh1a7	-0.525484308510228
Slc25a13	-0.523893733657321
Stx17	-0.523585879842919
Casp6	-0.521625465985639
Carhsp1	-0.519004178917742
Ptprf	-0.514591363321841
Apoc2	-0.513825615308172
Abcd2	-0.513044302195176
Dhcr24	-0.511422583795189
Mreg	-0.509947444836049
Hsd17b12	-0.508217073320245
Pltp	-0.506523736577695
Ppp1r10	-0.50391427457158
Ube2r2	-0.500797888601108
Mfsd1	-0.500504262206305
Syap1	-0.499526137818784
Cpne3	-0.499439402893314
Nipsnap3b	-0.496530698235196
Apoc3	-0.495344185581906
Gm4951	-0.494077776241386
Pdk1	-0.492333361346317
Dcaf8	-0.492279158964182
Thrap3	-0.488405015838513
Ppara	-0.487370008005801
Ces1g	-0.483745793792002
Ube2h	-0.483478990121315
Cisd1	-0.477893609968105
Zcchc6	-0.477756197134407
4931406C07Rik	-0.475600056434743
Tmem14c	-0.474824433222292
Dnajc30	-0.47387144940712
Higd2a	-0.473656064241523
Hbp1	-0.473383651669019
Cyhr1	-0.470720329323557
Tm7sf2	-0.466903614000831
Echdc3	-0.466060247395137
Fam213a	-0.465602738641222
Upp2	-0.462680740166264
Slc25a23	-0.461617749016436
Kdsr	-0.461481819174799
Cmc1	-0.456540386230079
Klkb1	-0.454004923531476
Flot1	-0.45341064324432
Nrbf2	-0.453169500554452
Stk16	-0.450634689658183
Cstb	-0.448772019091602
Fitm1	-0.448661806518867
Pex7	-0.448397684297806
Slc35b2	-0.446511768341409
Stom	-0.445183084185739
5033403H07Rik	-0.444604003304187
Daam1	-0.44298333208024
Nr2f2	-0.441460535282243
Hgfac	-0.439646828883501
Sirt3	-0.439378507187683
Slc16a12	-0.438838088841421
Timm8b	-0.436875237685704
Mpdu1	-0.434766281794033
Mettl7a1	-0.434437830165139
B4galt1	-0.431472254039279
Ppia	-0.429567577347443
Pde4b	-0.428538228761418
Slc25a47	-0.426042294464619
Ugp2	-0.424660057511126
B3galt1	-0.423715515582901
Parva	-0.420661562044834
C130074G19Rik	-0.417664515736146
C2cd2	-0.414759187384355
Tmem50a	-0.414670185617184
Zhx1	-0.414326224047361
Snapc5	-0.413845925655455
Vps13c	-0.410986215962552
Coro1b	-0.407206435128797
BC024386	-0.407151448063358
Scarb1	-0.405340731901835
Snx2	-0.404188234299572
Ifi30	-0.401023696555337
Slc47a1	-0.399175896917573
Pck1	-0.397792191965631
Siae	-0.397600746295108
Efna1	-0.397137837671415
Fxyd1	-0.393266613771983
Cd1d1	-0.391258773428782
Irf2	-0.391227519854273
Dgcr6	-0.388471294260357
Pebp1	-0.387740847011844
Arhgap26	-0.387563058107954
Gck	-0.387562382847308
Pgpep1	-0.386513768328879
Hpgd	-0.385226270221869
Fbxo9	-0.383824627630296
Faah	-0.378065920396077
Rsrc2	-0.377535609034766
Lamtor5	-0.37722319466889
Abcb11	-0.376381002838033
Acsm5	-0.375712394691041
Pin4	-0.375633807165382
Casp7	-0.375546501373074
Crip2	-0.374613492484348
H2afv	-0.374512469277757
Polr2k	-0.373779254756855
Sptssa	-0.37162846198007
Spon2	-0.364798995431966
Ubxn6	-0.364187831270411
Dpys	-0.362127595411408
Aldh5a1	-0.360367441159492
S1pr1	-0.360261638635258
Coq9	-0.358455310129607
Stx8	-0.357230610008175
Pcsk4	-0.356387451525975
9430016H08Rik	-0.354298558331355
Clpx	-0.352758734490749
Myl6	-0.351654658944881
Prlr	-0.351067505729191
N4bp2l2	-0.349718133598895
2810004N23Rik	-0.348550834255572
Fert2	-0.348335735146292
Rfc1	-0.345620698822239
Myeov2	-0.34455537366692
Arid5b	-0.342632116797667
Ech1	-0.342012468146581
Srsf5	-0.339595344582307
Bri3	-0.338915716476861
Hnrnpa0	-0.337490499156472
Anxa5	-0.33704265232648
Ak3	-0.335185055388268
Hykk	-0.334460247989794
